"playstore","love it we need more upgrade","5","2026-06-17T13:12:17.122Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=a74114ba-6037-4166-a574-09283d98a9e7"
"playstore","it's a good app for songs","5","2026-06-17T13:11:44.148Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=5b8f2c65-8771-4c94-a2cf-f001599c6be2"
"playstore","This app is very user-friendly and works smoothly. The interface is clean, and all features are easy to access. It has helped me save time and improve my productivity. I highly recommend it to anyone looking for a reliable app.","5","2026-06-17T13:07:45.358Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=66d7c38a-0f42-499c-b26e-2e7e2df11ce3"
"playstore","his aap so good and enjoy any song","1","2026-06-17T13:04:27.912Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=038493fb-b10f-4940-9f34-b5a494620ed4"
"playstore","The best music app of all time is spotify","5","2026-06-17T13:03:46.518Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=cdd763c5-b560-47a0-8e56-3fc495f432b0"
"playstore","when the premium ended they shuffled my Playlist for no reason it happens to me every time","2","2026-06-17T12:55:27.301Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=a57b0902-8bc6-4b00-aca0-d4b58c9d8bbf"
"playstore","They have removed smart shuffle at least. Now they have changed the widget, I don't understand removing support for the old simple widget. I don't need to see other options on the widget just play/pause next and back.","1","2026-06-17T12:52:38.986Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=a80f14c8-cc0f-4784-8d51-47a196365ee4"
"playstore","very good but at some point the app started glitching","5","2026-06-17T12:52:03.824Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=90f2f611-b3c3-4443-ad67-fb9eebcdf2e8"
"playstore","it's a very good app to use it's easy and convenience fast and good music I just love it a lot.","5","2026-06-17T12:51:36.571Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=8f621f8f-41a8-4586-a33e-4e82a9b4e913"
"playstore","There is so many ads but, the app so good 👍💖","4","2026-06-17T12:50:39.230Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=78996256-ab84-476a-80f5-77cb024ada04"
"playstore","I love this app","5","2026-06-17T12:49:13.467Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=bbceded6-3078-4687-abb8-e01ac94fcb4f"
"playstore","thanks Spotify 😊","5","2026-06-17T12:47:19.640Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=8d953d6e-7ba7-4469-a21d-c13fbde829a5"
"playstore","wish I could give 0 starts this is third class , application to play every other song it's asking to get primium , feels like always begging ghatiyaaaa , Bakwaaaaaaa","1","2026-06-17T12:46:05.798Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=f53076ac-b1b4-4980-9737-4524499475ac"
"playstore","You have to listen on shuffle if you dont have premium, and it used to shuffle normally but now ""smart"" shuffle (where the app plays songs that aren't part of the playlist/album/artist based on similarity) is the only option. Also, ad frequency is too high. Not only that but it's always 2 ads in a row now, never just 1. Feature suggestion: The option to play two or more playlists on shuffle at the same time.","3","2026-06-17T12:43:52.743Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=990357ef-0643-4af4-9ef5-13b45651db5a"
"playstore","why force people to use this new massive widget that takes up half my home screen and displays less. the original one was miles better","1","2026-06-17T12:43:47.282Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=4fabac9e-ec77-4f3b-9cdb-536d644b28f7"
"playstore","This app is the best streaming platforms only when u are on premium Sha I love my personal dj and sharing my music with my friends","5","2026-06-17T12:43:02.901Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=ee8b9871-d20d-4dbf-b82e-ab796f7d9abc"
"playstore","Good.d.d.d.d.d.d","5","2026-06-17T12:41:47.669Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=bcf73b7b-cb03-41f1-9c49-8b6ec3550a55"
"playstore","it used to be really good now it's just trash 🗑️","1","2026-06-17T12:37:12.469Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=917fd66c-1467-45e8-a393-44ca045d23e6"
"playstore","it is very useful app because when I do my work I really need this app","5","2026-06-17T12:36:56.450Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=9161dca2-76f3-4422-b0b8-5c5a717652b6"
"playstore","Still no lossless for Malaysia","5","2026-06-17T12:32:58.234Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=3dccedec-98ee-4a57-9f87-f48baf086082"
"playstore","it give us very high music quality","5","2026-06-17T12:32:53.138Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=6a6b535a-7b3f-42d2-9a9c-d46f49b46265"
"playstore","Bring the widget back. Bring the widget back. Bring the widget back. Update 2026 LEAVE THE WIDGET ALONE, STOP MESSING WITH IT. Return it as it was!","1","2026-06-17T12:28:42.492Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=50fdbb96-040f-4302-b1bb-8d6f513dc4e4"
"playstore","besides the fact that Spotify works with ICE. Did they remove the ""Local Files"" Playlist? i have music downloaded on my phone Playlist and it used to play on Spotify, just recently I noticed they removed it. is this a glitch or did they permanently remove the ""local files"" Playlist?","1","2026-06-17T12:28:08.464Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=04474202-bca6-4a2d-bfef-a8e0dadd5b20"
"playstore","absolute cinema","5","2026-06-17T12:27:09.608Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=fe63cf0e-2d1d-4b23-9f0d-a6d5237e3d0f"
"playstore","Takes very long to open","2","2026-06-17T12:26:46.385Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=a6225e4e-9f37-4ee1-9698-daf03d9f287c"
"playstore","Love it. I can download the songs I like and listen to them whenever I dont have reception or wifi.","5","2026-06-17T12:26:07.665Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=9c9cd23d-faf7-4ec6-acaa-49e87f2d0676"
"playstore","it helps me enjoy all the songs l love","5","2026-06-17T12:25:34.951Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=a96a21b9-d209-4574-ad60-cc580bb5fd33"
"playstore","you people are thiefs I tried subscribing and my account was deducted but you people refuse updating my payment and when I texted you guys you said the transaction was failed","1","2026-06-17T12:23:54.910Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=77f75653-9267-4203-8eca-7da8942dc8b5"
"playstore","removed my 1x4 widget :(","1","2026-06-17T12:23:40.348Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=6d7ee25d-c35c-40df-aba8-f8e577124f2e"
"playstore","Thier are much ads","4","2026-06-17T12:22:10.663Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=875aedee-7b04-4772-9d9f-fe0f925a4a71"
"playstore","randomly stops and decides to stop working.","1","2026-06-17T12:21:21.880Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=e22d2859-0245-4d22-8ee9-211eb65b33f8"
"playstore","as a very grouchy person this app helps me calm down. i like screamo, personally. Anyways, the app itself I've never had a problem with, it's pretty good. though lately when I try to open the app I just get the Spotify logo and then it goes away and it's just black. I've tried everything I can think of to get it to stop, the only way to open the app nowadays is to open it, go into settings and force stop it while clearing the cache. then I can go back into the Spotify app and it'll load.","4","2026-06-17T12:20:38.527Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=e18ed439-6400-4d93-9cfd-63b917765a4d"
"playstore","This is a very good platform for listening to music.","3","2026-06-17T12:19:19.342Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=c9110f5a-e8c2-411a-ac4e-99430a9e0b09"
"playstore","so perfect I enjoy every bit of it","5","2026-06-17T12:18:21.698Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=0677beea-6431-4dad-ac5d-56c1613be2db"
"playstore","bruh everyone knows it's the number one music app only problem it goes black and then I have to uninstall and reinstall it","5","2026-06-17T12:17:51.450Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=475579df-a860-4a0e-b34f-c765b65ac50f"
"playstore","very good app trying this app ❤️","5","2026-06-17T12:17:17.806Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=1ffe9f5b-20b2-40e0-a497-941d69159b86"
"playstore","The new widget sucks compared to the old one. Make whatever new thing you want, but leave us the one we want. Changing things and making it worse for no reason. Also offline mode is too aggressive, routinely comes on when I have a strong 5G connection.","1","2026-06-17T12:16:52.162Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=26925d68-e0c8-4ffb-a38d-c32cdcc9fcfd"
"playstore","There is a problem with the queue. I can't set the next track after the last update.","3","2026-06-17T12:15:14.859Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=cab235cd-6af0-4629-ade0-4886f3607b44"
"playstore","The Best Music platform 💯❤️","5","2026-06-17T12:13:32.820Z","https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=12cc57f7-4cff-4452-b40c-b4cfa882bea8"
