source,text,rating,date,url
"spotify-community","Solved!!_ _Superuser Contribution_ random song appear on my top song. When i open my profile on desktop, i see some song that i didn't even listen to appear on my top song. First i thought i got hacked and so i changed my password, but after a while it keep appearing and keep going up till top 3. the song was ""Passoa"",... Casual Listener When i open my profile on desktop, i see some song that i didn't even listen to appear on my top song. First i thought i got hacked and so i changed my password, but after a while it keep appearing a... 2024-11-18 3:25:10 PM Wednesday Vasil Moderator * *","","","https://community.spotify.com/t5/Content-Questions/random-song-appear-on-my-top-song/td-p/6518328"
"spotify-community","Superuser Contribution_ Incorrect chapter (track) names in audiobook. names in audiobook"") PlanPremiumCountryUKDeviceiPhone 14 pro max, MS SurfaceOperating SystemIOS latest, Windows 11 My Question or IssueMy published audiobook (When Autumn Slips Unnoticed Into Our Pockets) track/chapter names as in the published meta data do not appeaar -... Visitor Country UK Device iPhone 14 pro max, MS Surface Operating System IOS latest, Windows 11 My Question or Issue My published audiobook (When Autumn Slips Unnoticed Into Our... Wednesday Wednesday Joan Moderator * *","","","https://community.spotify.com/t5/Content-Questions/Incorrect-chapter-track-names-in-audiobook/td-p/7473909"
"spotify-community","Solved!!_ _Superuser Contribution_ Previously available podcast suddenly says not available in my region. I regularly listen to the Rockonteurs podcast in the UK as a UK user and went back to finish off an episode I'd started to listen to on Sunday. Spotify now says ""Sorry that's not currently available in your region"" but it most surely is. My region is... Casual Listener I regularly listen to the Rockonteurs podcast in the UK as a UK user and went back to finish off an episode I'd started to listen to on Sunday. Spotify now says ""Sorry that's not currently available ... 2025-06-20 5:48:36 PM Wednesday amelialoveday Casual Listener * *","","","https://community.spotify.com/t5/Content-Questions/Previously-available-podcast-suddenly-says-not-available-in-my/td-p/7017188"
"spotify-community","Solved!!_ _Superuser Contribution_ How do I turn off promotions blurbs on Spotify startup?. PlanPremiumCountryUSAOperating SystemAndroid My Question or IssueI pay for Spotify with the understanding that I never have to deal with ads but to me it feels as though Spotify has broken this promise by beginning to subtly and not so subtly put in ... Newbie ...potify has broken this promise by beginning to subtly and not so subtly put in ads for it own content with no option to remove it. This morning, I was hit with a startup banner message for four related p... 2021-11-03 6:35:05 PM Wednesday JimboBristol Visitor * *","","","https://community.spotify.com/t5/Content-Questions/How-do-I-turn-off-promotions-blurbs-on-Spotify-startup/td-p/5288481"
"spotify-community","Superuser Contribution_ Server-side search index association bug (Reproducible in Incognito). "") Hello,I have discovered an unusual issue with the search algorithm and isolated a bug on the server level. Please do not provide standard troubleshooting steps like clearing the cache, as I have already isolated the problem.The Issue:When searching f... Newbie Hello, I have discovered an unusual issue with the search algorithm and isolated a bug on the server level. Please do not provide standard troubleshooting steps like clearing the cache, as I have al... Tuesday Wednesday Yordan Moderator * *","","","https://community.spotify.com/t5/Content-Questions/Server-side-search-index-association-bug-Reproducible-in/td-p/7471835"
"spotify-community","Superuser Contribution_ Wrong artist — house single ""Nara by Night"" attached to ambient artist Robert Rich. Hello,The release ""Nara by Night (Rich Nara Mix)"" (single, 2022) is attributed on Spotify to Robert Rich, the California ambient/electronic composer — but it is NOT his work. It's a house/club track by a different artist who happens to share the same... Casual Listener Hello, The release ""Nara by Night (Rich Nara Mix)"" (single, 2022) is attributed on Spotify to Robert Rich, the California ambient/electronic composer — but it is NOT his work. It's a house/club trac... 2 weeks ago Tuesday Dessi Moderator Nara by Night Robert Rich * *","","","https://community.spotify.com/t5/Content-Questions/Wrong-artist-house-single-quot-Nara-by-Night-quot-attached-to/td-p/7459040"
"spotify-community","Superuser Contribution_ music request form. it seems as though the previous music request form has been deleted so heres my attempt at requesting a song to be added: artist: Pendulumsong: Crush (Extended Radio Edit)album: Immersion link to the version:https://youtu.be/NI9IaiVbcms Casual Listener it seems as though the previous music request form has been deleted so heres my attempt at requesting a song to be added: artist: Pendulum song: Crush (Extended Radio Edit) album: Immersio... 2023-06-02 4:20:18 PM Monday Denis_Richard Newbie * *","","","https://community.spotify.com/t5/Content-Questions/music-request-form/td-p/5590732"
"spotify-community","Audiobooks being removed at random. Anyone else start reading a book and it just being removed at random? I'm in a series right now and on book 5 of 8. Just so happens that book 5 got removed...all others are there and no one through support seems to care. They said it could be through... Visitor Anyone else start reading a book and it just being removed at random? I'm in a series right now and on book 5 of 8. Just so happens that book 5 got removed...all others are there and no ... Friday Monday Billy-J Spotify Star * *","","","https://community.spotify.com/t5/Content-Questions/Audiobooks-being-removed-at-random/td-p/7466873"
"spotify-community","Superuser Contribution_ blatant advertisement on Home page of desktop Spotify. PlanPremiumCountryUSADeviceDesktopOperating SystemLinux today, there is a large banner on the top of home page that clearly states ""Advertisement""! it shows repeatedly even after i selected ""Not interested"". this is pretty bad, blatant and clear viol... Regular Country USA Device Desktop Operating System Linux today, there is a large banner on the top of home page that clearly states ""Advertisement""! it shows repeatedly ev... 2026-05-07 2:16:47 AM Sunday Jeb_K Newbie * *","","","https://community.spotify.com/t5/Content-Questions/blatant-advertisement-on-Home-page-of-desktop-Spotify/td-p/7428699"
"spotify-community","Superuser Contribution_ Song unavailable – greyed out for everyone?. I need this song that appears in search results but is greyed out and can’t be played.I’ve tried from both my computer and iPhone using my Premium account in Denmark.open.spotify.com/track/25Csnzq1EEctYnJCSq5m6QThanks in advance if anyone can help Casual Listener I need this song that appears in search results but is greyed out and can’t be played. I’ve tried from both my computer and iPhone using my Premium account in Denmark. open.spotify.com/track/25Cs... 2025-06-25 8:13:23 PM Saturday HippoX80 Casual Listener * *","","","https://community.spotify.com/t5/Content-Questions/Song-unavailable-greyed-out-for-everyone/td-p/7022475"
"spotify-community","Superuser Contribution_ Audiobook Hours Not Renewed. PlanPremiumCountryUSADeviceS21 My Question or IssueTwo days ago my 15 hours of audio book ran our and Spotify said I had two days until it renewed. When I went on the app today, it said 29 days remaining even though I have not listened to any audio b... Visitor Country USA Device S21 My Question or Issue Two days ago my 15 hours of audio book ran our and Spotify said I had two days until it renewed. When I went on the app... 2024-09-27 5:28:29 PM Saturday RobSWE Newbie * * * *","","","https://community.spotify.com/t5/Content-Questions/Audiobook-Hours-Not-Renewed/td-p/6392513"
"spotify-community","Superuser Contribution_ Grayed out songs on playlists. Premium Operating SystemWindows 10 My Question or Issue Everything was working fine, except yesterday i wanted to listen along to my friend, i couldn’t join (clicked link redirected me to spotify app but nothing was playing) same for jam,... Casual Listener Premium Operating System Windows 10 My Question or Issue Everything was working fine, except yesterday i wanted to listen along to my friend, i couldn’t join (cli... 2025-12-10 4:11:48 PM a week ago DamSkiBK Casual Listener * *","","","https://community.spotify.com/t5/Content-Questions/Grayed-out-songs-on-playlists/td-p/7261223"
"spotify-community","Superuser Contribution_ Viewing Extra Content in Audio Books. I have a Premium enjoy listening to Audio Books on my device on my Iphone. I'm wanting to download and print some of the ""Extra Content"" that often comes with the audio books. The current book I'm listening to has a valuable 10+ page .PDF th... Visitor I have a Premium enjoy listening to Audio Books on my device on my Iphone. I'm wanting to download and print some of the ""Extra Content"" that often comes with the audio books. The current b... 2024-05-21 11:58:26 PM a week ago Kyles123 Visitor * *","","","https://community.spotify.com/t5/Content-Questions/Viewing-Extra-Content-in-Audio-Books/td-p/6084709"
"spotify-community","Solved!!_ _Superuser Contribution_ Reporting a fraudulent bot playlist. I’m having a major issue. I somehow got added to a bot playlist without my knowledge or consent. I don’t pay for playlisting or do anything that would violate terms of service. This is the second time this same group of scammers have done this. I’ve ... Regular I’m having a major issue. I somehow got added to a bot playlist without my knowledge or consent. I don’t pay for playlisting or do anything that would violate terms of service. This is the seco... 2022-07-21 7:53:41 PM a week ago tob26 Visitor * *","","","https://community.spotify.com/t5/Content-Questions/Reporting-a-fraudulent-bot-playlist/td-p/5408035"
"spotify-community","Song linked to wrong artist. The song:https://open.spotify.com/track/4jF30l1l7QsJA9AEuQgayG?si=HKANk7eZRK-uJFXH2gVtBg Should be linked to artist:https://open.spotify.com/artist/5qUAtC3NwSLYme4JqjlGfQ?si=PgnKfDEnRMG4uLpNvGmvuw Thanks. Visitor The song: https://open.spotify.com/track/4jF30l1l7QsJA9AEuQgayG?si=HKANk7eZRK-uJFXH2gVtBg Should be linked to artist: https://open.spotify.com/artist/5qUAtC3NwSLYme4JqjlGfQ?si=PgnKfD... 2025-03-23 6:55:44 PM a week ago AdamDamon Community Legend * *","","","https://community.spotify.com/t5/Content-Questions/Song-linked-to-wrong-artist/td-p/6863576"
"spotify-community","Solved!!_ _Superuser Contribution_ How can you report fake AI artists?. I found this AI ""artists"": https://open.spotify.com/artist/5iDxkYqkajjBahsudnNB0H?si=Bhx0Q_j0RhKnw_xPR-aMKQ that hijacks the recommendations by listing popular artists as performers on their songs. The music is obviously AI garbage. Is there a way re... Newbie I found this AI ""artists"": https://open.spotify.com/artist/5iDxkYqkajjBahsudnNB0H?si=Bhx0Q_j0RhKnw_xPR-aMKQ that hijacks the recommendations by listing popular artists as performers on their songs. T... 2025-06-20 11:39:17 AM 2 weeks ago D-npc Visitor * *","","","https://community.spotify.com/t5/Content-Questions/How-can-you-report-fake-AI-artists/td-p/7016823"
